;author;title;year;avgsentlen
PG28896;William+Carleton;Stories+Tales;1842;12.25328947368421
PG4787;Kathleen+Norris;Story+Julia;1933;21.287070938215102
PG31884;Bill+Nye;Guest+Ludlow;1883;28.423636363636362
PG14039;George+Chamberlain;Through+stained;1932;15.187121547777286
PG57975;Ella+Wallis;Excavating+Husband;1916;21.06810442678774
PG34576;John+Trevena;Violence;1910;22.66772823779193
PG55161;Josephine+Bacon;Madness+Philip;1902;17.222265172013916
PG55907;Roy+Snell;Golden+Circle;1931;13.634220864251418
PG49372;Victor+Hugo;Ninety+Three;1854;19.76529636711281
PG47338;Mrs+Alexander;Kate+Vernon;1854;32.19956379498364
PG10904;Burt+Standish;Frank+Merriwell;1896;14.249178532311062
PG55312;Fergus+Hume;Rainbow+Feather;1898;18.181441951644523
PG30993;Mary+Leonard;Spectacle+Story;1915;22.43112128146453
PG30183;Clayton+Hamilton;Manual+Fiction;1933;31.166666666666668
PG2048;Washington+Irving;Sketch+Book;1831;37.13257222739981
PG54485;Adam+Seaborn;Symzonia+Voyage;1820;40.106831395348834
PG50816;Oblinger;Dick+Kent;1927;21.523082145281737
PG42233;Anne+Sedgwick;Third+Window;1920;16.43362445414847
PG65597;Mary+Dods;Tales+Wild;1825;44.25894069714803
PG1749;Honoré+Balzac;Cousin+Betty;1834;24.300047382136935
PG56590;Émile+Zola;Rush+Spoil;1885;25.553783508652867
PG912;Charles+Dickens;Mudfog+Other;1837;34.67934312878133
PG44252;James;Richelieu+Tale;1829;35.17246835443038
PG18514;Andrew+Spedon;Black+Sealed;1872;25.425061425061426
PG4607;Charles+Reade;Love+Little;1859;19.0009765625
PG1437;Honoré+Balzac;Juana;1834;24.49609035621199
PG5564;Georg+Ebers;Barbara+Blomberg;1880;30.04353233830846
PG26429;Joel+Harris;Nights+With;1883;25.91537185095791
PG36563;Frances+Trollope;Widow+Barnaby;1839;40.35419630156472
PG59705;Ethel+Talbot;Island+Camp;1923;21.085748792270532
PG30004;Richard+Lewis;Bottle+Wine;1934;17.32234432234432
PG22124;Keyworth;Golden+Shoemaker;1822;22.117573221757322
PG4499;George+Meredith;Complete+Short;1878;21.542126330176707
PG36733;Nell+Speed;Molly+Brown;1912;17.989662676822633
PG9840;Benjamin+Disraeli;Vivian+Grey;1826;24.026533358969427
PG15875;May+Fleming;Unseen+Bridegroom;1870;16.142279821627646
PG45651;Martha+Finley;Mildred+Elsie;1890;24.12268188302425
PG14216;Keene;George+Cross;1880;25.820118343195265
PG54470;Bryant;Heel+Tales;1930;20.74899919935949
PG55151;James+Otis;Armed+Ship;1890;39.305726872246694
PG63868;Edward+Ellis;Miners+Enchanted;1867;24.43337195828505
PG7619;Edward+Lytton;Pelham;1833;33.9415347137637
PG53688;Charles+Maturin;Melmoth+Wanderer;1821;38.58556263269639
PG57623;Speight;Loudwater+Tragedy;1882;29.745627980922098
PG32377;Felix+Dahn;Struggle+Rome;1878;18.80818561752414
PG5959;Walter+Scott;Peveril+Peak;1823;38.550462351387054
PG29597;Sarah+Barrow;Neighbor+Nelly;1862;29.12857142857143
PG4033;Eliza+Follen;Spoke+Next;1834;26.292763157894736
PG45627;Ambrose+Newcomb;Wings+Over;1930;35.81253561253561
PG57875;Henry+Wood;Anne+Hereford;1868;17.130888445603805
PG66374;Stendhal;Charterhouse+Parma;1822;31.5582745748652
PG28683;Charles+Buck;Roof+Tree;1924;29.595198870322427
PG20795;Charles+Dickens;Cricket+Hearth;1846;20.8915206063477
PG44123;Joanna+Mathews;Jessie+Parrot;1871;27.826902465166132
PG64664;Prentiss+Ingraham;Buffalo+Bill;1884;19.150724085365855
PG6017;Rex+Beach;Silver+Horde;1909;18.414831226378208
PG60950;Rita+Weiman;Footlights;1932;15.797910924125924
PG34481;William+Kingston;Prime+Minister;1857;34.85303746817024
PG60066;James+Jarves;Kiana+Tradition;1857;25.611881785283472
PG20781;Johanna+Spyri;Heidi+Gift;1874;18.12759722962174
PG27681;James+Cooper;Last+Mohicans;1830;31.374708041374706
PG6679;Constance+Woolson;Stone+House;1877;23.53510716925351
PG50050;Percy+Westerman;girt+Fortress;1928;19.816047412810576
PG22835;Mary+Mitford;London+Visitor;1835;43.96103896103896
PG4703;James+Curwood;Flower+North;1926;18.894596807204255
PG38995;Thomas+Miller;Sheep+Lamb;1850;25.147727272727273
PG5343;Montgomery;Rainbow+Valley;1918;17.438144329896907
PG39768;Francis+Parkman;Vassall+Morton;1856;21.44009293063392
PG7726;Edward+Lytton;Last+Barons;1848;28.094451003541913
PG49315;Claire+Duras;Ourika;1824;22.579298831385643
PG33372;Francis+Woodworth;Peddler+Somebody;1851;21.474770642201836
PG422;George+Borrow;Romany;1874;37.01128276340913
PG20767;Moir;Life+Mansie;1828;46.94927251278018
PG1931;Phillips+Oppenheim;Zeppelin+Passenger;1918;15.620368713083945
PG45108;Barnum;Barnum+Menagerie;1860;21.53125
PG3682;Winston+Churchill;Crewe+Career;1908;21.958496476115897
PG50497;Philip+Gibbs;Back+Life;1930;19.98559381588194
PG11869;Benjamin+Disraeli;Venetia;1837;24.07909864336629
PG40836;William+Queux;Mysterious+Three;1922;17.654133858267716
PG1289;Charles+Dickens;Three+Ghost;1851;28.260649087221097
PG9238;Nathaniel+Hawthorne;Sylph+Etherege;1838;25.971223021582734
