filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
HU16124	HU16124	Bartók Lajos	A szemfényvesztők : Regény	1851	1902	viaf:121399672	Magyar Elektronikus Könyvtárért Egyesület	1896	NA	hu	41351	NA	NA	M	short	NA	T3
HU16123	HU16123	 Malonyay Dezső	Az utolsó: Regény három kötetben: ELTeC edition	1866	1916	viaf:86172276	Magyar Elektronikus Könyvtárért Egyesület	1896	NA	hu	94912	NA	NA	M	medium	NA	T3
HU14564	HU14564	 Herman Ottóné	Kisvárosiak: Regény: ELTeC edition	1856	1916	viaf:53161612	Magyar Elektronikus Könyvtárért Egyesület	1897	NA	hu	27035	NA	NA	F	short	NA	T3
HU13462	HU13462	Kövér Ilma	Két világ közt : Regény	1862	1928	viaf:121505002	Magyar Elektronikus Könyvtárért Egyesület	1897	NA	hu	36087	NA	NA	F	short	NA	T3
HU14315	HU14315	Kupa Árpád	Képzelt királyok : Történeti regény	1858	1916	viaf:162003783	Magyar Elektronikus Könyvtárért Egyesület	1898	NA	hu	66127	NA	NA	M	medium	NA	T3
HU00628	HU00628	Bródy Sándor	Az ezüst kecske	1863	1924	viaf:49267921	Magyar Elektronikus Könyvtárért Egyesület	1898	NA	hu	47696	NA	NA	M	short	NA	T3
HU06784	HU06784	Rákosi Viktor	Korhadt fakeresztek : képek a magyar szabadságról  	1860	1923	viaf:58030320	Magyar Elektronikus Könyvtárért Egyesület	1899	NA	hu	34574	NA	NA	M	short	NA	T3
HU13387	HU13387	 Gárdonyi Géza	Egri csillagok: Bornemissza Gergely élete: ELTeC edition	1863	1922	viaf:24643507	Magyar Elektronikus Könyvtárért Egyesület	1901	NA	hu	138886	NA	NA	M	long	NA	T4
HU00662	HU00662	Gárdonyi Géza	A láthatatlan ember : Történelmi regény	1863	1922	viaf:24643507	Magyar Elektronikus Könyvtárért Egyesület	1901	NA	hu	76646	NA	NA	M	medium	NA	T4
HU12359	HU12359	Zigány Árpád	A parasztkirály : Történeti regény a XVI. századból	1865	1936	viaf:70701164	Magyar Elektronikus Könyvtárért Egyesület	1902	NA	hu	62504	NA	NA	M	medium	NA	T4
HU12750	HU12750	Bársony István	A rab király szabadon : Fantasztikus állatregény	1863	1924	viaf:84079235	Magyar Elektronikus Könyvtárért Egyesület	1903	NA	hu	30756	NA	NA	M	short	NA	T4
HU05286	HU05286	Ambrus Zoltán	Midas király	1861	1932	viaf:49239294	Magyar Elektronikus Könyvtárért Egyesület	1906	NA	hu	143418	NA	NA	M	long	NA	T4
HU17694	HU17694	Lux Terka	Amire születtünk : Regény	1873	1938	viaf:121519574	Magyar Elektronikus Könyvtárért Egyesület	1906	NA	hu	34961	NA	NA	F	short	NA	T4
HU13606	HU13606	Werner Gyula	Forgách Simon : Rákóczi korabeli regény	1862	1926	viaf:167135256	Magyar Elektronikus Könyvtárért Egyesület	1907	NA	hu	121674	NA	NA	M	long	NA	T4
HU17653	HU17653	Czóbel Minka	Két arany hajszál : Regény	1855	1947	viaf:1344243	Magyar Elektronikus Könyvtárért Egyesület	1908	NA	hu	36053	NA	NA	F	short	NA	T4
HU00949	HU00949	Mikszáth Kálmán	A Noszty fiú esete Tóth Marival            	1847	1910	viaf:46774986	Magyar Elektronikus Könyvtárért Egyesület	1908	NA	hu	133267	NA	NA	M	long	NA	T4
HU17048	HU17048	Kabos Ede	A jövő fészke	1864	1923	viaf:51003824 	Magyar Elektronikus Könyvtárért Egyesület	1908	NA	hu	53753	NA	NA	M	medium	NA	T4
HU16824	HU16824	Ritoók Emma	A nagy véletlen	1868	1945	viaf:121446803	Magyar Elektronikus Könyvtárért Egyesület	1908	NA	hu	47729	NA	NA	F	short	NA	T4
HU16600	HU16600	Lovik Károly	Az arany polgár : Regény	1874	1915	viaf:121536328	Magyar Elektronikus Könyvtárért Egyesület	1908	NA	hu	31026	NA	NA	M	short	NA	T4
HU16344	HU16344	Eötvös Károly	A Bakony	1842	1916	viaf:184888089	Magyar Elektronikus Könyvtárért Egyesület	1909	NA	hu	123386	NA	NA	M	long	NA	T4
HU00977	HU00977	Móra Ferenc	Rab ember fiai	1879	1934	viaf:73857588	Magyar Elektronikus Könyvtárért Egyesület	1910	NA	hu	21678	NA	NA	M	short	NA	T4
HU02028	HU02028	Kaffka Margit	Színek és évek	1880	1918	viaf:19708135	Magyar Elektronikus Könyvtárért Egyesület	1911	NA	hu	62913	NA	NA	F	medium	NA	T4
HU13316	HU13316	Szemere György	A Kont-eset :  Fantasztikus regény a XXI. századból             	1866	1952	viaf:121485073	Magyar Elektronikus Könyvtárért Egyesület	1911	NA	hu	52170	NA	NA	M	medium	NA	T4
HU05060	HU05060	Móricz Zsigmond	Sárarany	1879	1942	viaf:22179627	Magyar Elektronikus Könyvtárért Egyesület	1911	NA	hu	50806	NA	NA	M	medium	NA	T4
HU11795	HU11795	               Ágai Adolf	Rontó Pál viselt dolgai vizen és szárazon	1836	1916	viaf:19711540	Magyar Elektronikus Könyvtárért Egyesület	1912	NA	hu	41719	NA	NA	M	short	NA	T4
HU07119	HU07119	Cholnoky Viktor	Kaleidoszkop	1868	1912	viaf:na	Magyar Elektronikus Könyvtárért Egyesület	1913	NA	hu	48819	NA	NA	M	short	NA	T4
HU16529	HU16529	NA	Csillagok a Tiszában	NA	NA	viaf:5289705	Magyar Elektronikus Könyvtárért Egyesület	1914	NA	hu	51818	NA	NA	M	medium	NA	T4
HU00719	HU00719	Karinthy Frigyes	Tanár úr kérem	1887	1938	viaf:46762994	Magyar Elektronikus Könyvtárért Egyesület	1916	NA	hu	17484	NA	NA	M	short	NA	T4
HU00600	HU00600	Babits Mihály	A gólyakalifa	1883	1941	viaf:49221125	Magyar Elektronikus Könyvtárért Egyesület	1916	NA	hu	38365	NA	NA	M	short	NA	T4
HU09105	HU09105	Török Gyula	A zöldköves gyűrű : Regény	1888	1918	viaf:72194515	Magyar Elektronikus Könyvtárért Egyesület	1918	NA	hu	84038	NA	NA	M	medium	NA	T4
HU11129	HU11129	Andor Mária	Bébike memoárjai : Egy kis kutya önéletrajza	1890	1960	NA	Magyar Elektronikus Könyvtárért Egyesület	1918	NA	hu	47151	NA	NA	F	short	NA	T4
HU05964	HU05964	Cholnoky László	Piroska	1879	1929	viaf:na	Magyar Elektronikus Könyvtárért Egyesület	1919	NA	hu	166120	NA	NA	M	long	NA	T4
HU17606	HU17606	 Teleki Sándorné	Tabu :  Regény             	1864	1937	viaf:309595549	Magyar Elektronikus Könyvtárért Egyesület	1919	NA	hu	57333	NA	NA	F	medium	NA	T4
HU00763	HU00763	Krúdy Gyula	Az útitárs	1878	1933	viaf:22810	Magyar Elektronikus Könyvtárért Egyesület	1919	NA	hu	15800	NA	NA	M	short	NA	T4
HU10428	HU10428	Szomaházy István	A csipkeverő leány : Regény	1864	1927	viaf:73382097	Magyar Elektronikus Könyvtárért Egyesület	1920	NA	hu	30933	NA	NA	M	short	NA	T4
HU17435	HU17435	Tormay Cécile	Bujdosó könyv	1876	1937	viaf:49267950	Magyar Elektronikus Könyvtárért Egyesület	1920	NA	hu	160251	NA	NA	F	long	NA	T4
HU08358	HU08358	 Benedek Elek	Édes anyaföldem! :  Egy nép s egy ember története 	1859	1929	viaf:120201932	Magyar Elektronikus Könyvtárért Egyesület	1920	NA	hu	151256	NA	NA	M	long	NA	T4
HU18535	HU18535	Gozsdu Elek	Köd :  Regény 	1863	1924	viaf:52610012	Magyar Elektronikus Könyvtárért Egyesület	1882	NA	hu	45870	NA	NA	M	short	NA	T3
