id;title;author;gender;year-birth;year-death;year-worldcat;year-ref;language;translation;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG47378;Mrs. Darrell;Davis, Foxcroft;;1860.0;1916.0;1905.0;1905;['en'];;5;{'Washington (D.C.) -- Social life and customs -- Fiction', 'Marriage -- Fiction'};Foxcroft+Davis;Darrell;https://www.worldcat.org/search?q=Foxcroft+Davis+Darrell&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20963;Grandmother Dear: A Book for Boys and Girls;Molesworth, Mrs.;;1839.0;1921.0;1878.0;1878;['en'];;15;{'Grandparent and child -- Juvenile fiction', 'Motherless families -- Juvenile fiction', 'France -- Juvenile fiction', 'Grandmothers -- Juvenile fiction'};Mrs+Molesworth;Grandmother+Dear;https://www.worldcat.org/search?q=Mrs+Molesworth+Grandmother+Dear&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG54725;A Butterfly Chase;Stahl, P.-J.;;1814.0;1886.0;1869.0;1869;['en'];;5;{'Butterflies -- Collection and Preservation -- Juvenile fiction', 'Donkeys -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Animal welfare -- Juvenile fiction'};Stahl;Butterfly+Chase;https://www.worldcat.org/search?q=Stahl+Butterfly+Chase&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26714;The Captain's Bunk: A Story for Boys;Manwell, M. B.;;;;1890.0;1890;['en'];;12;{'Fishing villages -- Juvenile fiction', 'Didactic fiction', 'Domestic fiction', 'Dysfunctional families -- Juvenile fiction', 'Christian fiction'};Manwell;Captain+Bunk;https://www.worldcat.org/search?q=Manwell+Captain+Bunk&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG18875;The Prairie Wife;Stringer, Arthur;;1874.0;1950.0;1915.0;1915;['en'];;31;{'Canada -- Fiction', 'Frontier and pioneer life -- Prairie Provinces -- Fiction'};Arthur+Stringer;Prairie+Wife;https://www.worldcat.org/search?q=Arthur+Stringer+Prairie+Wife&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6196;Cumner's Son and Other South Sea Folk — Volume 02;Parker, Gilbert;;1862.0;1932.0;1910.0;1910;['en'];;10;{'Oceania -- Fiction'};Gilbert+Parker;Cumner+Other;https://www.worldcat.org/search?q=Gilbert+Parker+Cumner+Other&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG19066;Brigands of the Moon;Cummings, Ray;;1887.0;1957.0;1931.0;1931;['en'];;49;{'Science fiction'};Ray+Cummings;Brigands+Moon;https://www.worldcat.org/search?q=Ray+Cummings+Brigands+Moon&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG26875;"The Boy Scout Fire Fighters; Or Jack Danby's Bravest Deed";Maitland, Robert;;;;1912.0;1912;['en'];;13;{'Boy Scouts -- Juvenile fiction', 'Fire extinction -- Juvenile fiction', 'Fire fighters -- Juvenile fiction'};Robert+Maitland;Scout+Fire;https://www.worldcat.org/search?q=Robert+Maitland+Scout+Fire&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG953;"Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes";Appleton, Victor;;;;1916.0;1916;['en'];;23;{'Andes Region -- Juvenile fiction', 'Tunnels -- Juvenile fiction', 'Adventure and adventurers -- Juvenile fiction', 'Swift, Tom (Fictitious character) -- Juvenile fiction'};Victor+Appleton;Swift+Tunnel;https://www.worldcat.org/search?q=Victor+Appleton+Swift+Tunnel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG41096;"All-Hallow Eve; or, The Test of Futurity.";Curtis, Robert;;;;1871.0;1871;['en'];;39;{'Ireland -- Fiction'};Robert+Curtis;Hallow+Test;https://www.worldcat.org/search?q=Robert+Curtis+Hallow+Test&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37003;Tessa Wadsworth's Discipline: A Story of the Development of a Young Girl's Life;Conklin, Nathaniel, Mrs.;;1841.0;1900.0;;1880;['en'];;44;{'Mate selection -- Fiction', 'Young women -- Conduct of life -- Fiction'};Nathaniel+Conklin;Tessa+Wadsworth;https://www.worldcat.org/search?q=Nathaniel+Conklin+Tessa+Wadsworth&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG31540;Marguerite De Roberval: A Romance of the Days of Jacques Cartier;Marquis, Thomas Guthrie;;1864.0;1936.0;1899.0;1899;['en'];;26;{'Roberval, Jean François de La Roque, sieur de, 1501?-1560? -- Fiction', 'Roberval, Marguerite de -- Fiction', 'Cartier, Jacques, 1491-1557 -- Fiction', 'Canada -- History -- To 1763 (New France) -- Fiction'};Thomas+Marquis;Marguerite+Roberval;https://www.worldcat.org/search?q=Thomas+Marquis+Marguerite+Roberval&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5066;The Whole Family: a Novel by Twelve Authors;Brown, Alice;;1857.0;1948.0;2003.0;1912;['en'];;79;{'Domestic fiction'};Alice+Brown;Whole+Family;https://www.worldcat.org/search?q=Alice+Brown+Whole+Family&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG60229;The Priest and the Acolyte: With an Introductory Protest by Stuart Mason;Bloxam, John Francis;;1873.0;1928.0;1894.0;1894;['en'];;71;{'Catholic Church -- Clergy -- Sexual behavior -- Fiction', 'Homosexuality -- Fiction'};John+Bloxam;Priest+Acolyte;https://www.worldcat.org/search?q=John+Bloxam+Priest+Acolyte&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG6292;No Defense, Volume 1.;Parker, Gilbert;;1862.0;1932.0;2014.0;1907;['en'];;2;{'Fiction'};Gilbert+Parker;Defense;https://www.worldcat.org/search?q=Gilbert+Parker+Defense&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG16253;Madge Morton, Captain of the Merry Maid;Chalmers, Amy D. V.;;;;1914.0;1914;['en'];;19;{'Friendship -- Juvenile fiction', 'Houseboats -- Juvenile fiction', 'Vacations -- Juvenile fiction', 'Young women -- Juvenile fiction'};Amy+Chalmers;Madge+Morton;https://www.worldcat.org/search?q=Amy+Chalmers+Madge+Morton&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG62652;Tom Akerley: His Adventures in the Tall Timber and at Gaspard's Clearing on the Indian River;Roberts, Theodore Goodridge;;1877.0;1953.0;;1925;['en'];;8;{'Canada -- Fiction', 'Adventure stories', 'World War, 1914-1918 -- Veterans -- Fiction'};Theodore+Roberts;Akerley+Adventures;https://www.worldcat.org/search?q=Theodore+Roberts+Akerley+Adventures&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG24574;Loss and Gain: The Story of a Convert;Newman, John Henry;;1801.0;1890.0;2013.0;1856;['en'];;44;{'Christianity, Conversion to -- Fiction', 'Christian fiction'};John+Newman;Loss+Gain;https://www.worldcat.org/search?q=John+Newman+Loss+Gain&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG5738;"Cappy Ricks; Or, the Subjugation of Matt Peasley";Kyne, Peter B. (Peter Bernard);;1880.0;1957.0;1916.0;1916;['en'];;19;{'San Francisco (Calif.) -- Fiction', 'Shipping companies (Marine transportation) -- Fiction', 'Lumber trade -- Pacific Coast (U.S.) -- Fiction'};Peter+Kyne;Cappy+Ricks;https://www.worldcat.org/search?q=Peter+Kyne+Cappy+Ricks&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
